host,strain,nickname,library,phage,set,time0,no_phage_control,phage_rep
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S377,S377;S378;S383;S384,,Time0 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S378,S377;S378;S383;S384,,Time0 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S383,S377;S378;S383;S384,,Time0 R3
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S384,S377;S378;S383;S384,,Time0 R4
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S473,S473;S474;S479,S480,Time0 R5
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S474,S473;S474;S479,S480,Time0 R6
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S479,S473;S474;S479,S480,Time0 R7
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,No_phage_control,S480,S473;S474;S479,S480,No_phage_control R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S569,S569;S570;S575,S576,Time0 R8
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S570,S569;S570;S575,S576,Time0 R9
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S575,S569;S570;S575,S576,Time0 R10
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,No_phage_control,S576,S569;S570;S575,S576,No_phage_control R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S90,S90;S95;S96,S89,Time0 R11
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S95,S90;S95;S96,S89,Time0 R12
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Time0,S96,S90;S95;S96,S89,Time0 R13
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,No_phage_control,S89,S90;S95;S96,S89,No_phage_control R3
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas01,S385,S473;S474;S479,S480,Bas01 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas01,S386,S473;S474;S479,S480,Bas01 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas02,S397,S473;S474;S479,S480,Bas02 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas02,S398,S473;S474;S479,S480,Bas02 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas03,S289,S377;S378;S383;S384,,Bas03 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas03,S290,S377;S378;S383;S384,,Bas03 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas04,S301,S377;S378;S383;S384,,Bas04 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas04,S302,S377;S378;S383;S384,,Bas04 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas05,S313,S377;S378;S383;S384,,Bas05 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas05,S314,S377;S378;S383;S384,,Bas05 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas06,S325,S377;S378;S383;S384,,Bas06 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas06,S326,S377;S378;S383;S384,,Bas06 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas07,S337,S377;S378;S383;S384,,Bas07 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas07,S338,S377;S378;S383;S384,,Bas07 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas09,S361,S377;S378;S383;S384,,Bas09 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas09,S362,S377;S378;S383;S384,,Bas09 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas10,S373,S377;S378;S383;S384,,Bas10 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas10,S374,S377;S378;S383;S384,,Bas10 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas11,S409,S473;S474;S479,S480,Bas11 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas11,S410,S473;S474;S479,S480,Bas11 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas12,S291,S377;S378;S383;S384,,Bas12 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas12,S292,S377;S378;S383;S384,,Bas12 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas13,S303,S377;S378;S383;S384,,Bas13 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas13,S304,S377;S378;S383;S384,,Bas13 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas14,S315,S377;S378;S383;S384,,Bas14 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas14,S316,S377;S378;S383;S384,,Bas14 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas15,S327,S377;S378;S383;S384,,Bas15 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas15,S328,S377;S378;S383;S384,,Bas15 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas16,S339,S377;S378;S383;S384,,Bas16 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas16,S340,S377;S378;S383;S384,,Bas16 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas17,S351,S377;S378;S383;S384,,Bas17 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas17,S352,S377;S378;S383;S384,,Bas17 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas19,S433,S473;S474;S479,S480,Bas19 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas19,S434,S473;S474;S479,S480,Bas19 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas20,S363,S377;S378;S383;S384,,Bas20 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas20,S364,S377;S378;S383;S384,,Bas20 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas21,S375,S377;S378;S383;S384,,Bas21 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas21,S376,S377;S378;S383;S384,,Bas21 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas22,S293,S377;S378;S383;S384,,Bas22 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas22,S294,S377;S378;S383;S384,,Bas22 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas23,S445,S473;S474;S479,S480,Bas23 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas23,S446,S473;S474;S479,S480,Bas23 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas24,S457,S473;S474;S479,S480,Bas24 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas24,S458,S473;S474;S479,S480,Bas24 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas25,S469,S473;S474;S479,S480,Bas25 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas25,S470,S473;S474;S479,S480,Bas25 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas26,S387,S473;S474;S479,S480,Bas26 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas26,S388,S473;S474;S479,S480,Bas26 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas27,S305,S377;S378;S383;S384,,Bas27 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas27,S306,S377;S378;S383;S384,,Bas27 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas28,S317,S377;S378;S383;S384,,Bas28 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas28,S318,S377;S378;S383;S384,,Bas28 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas29,S329,S377;S378;S383;S384,,Bas29 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas29,S330,S377;S378;S383;S384,,Bas29 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas30,S399,S473;S474;S479,S480,Bas30 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas30,S400,S473;S474;S479,S480,Bas30 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas31,S341,S377;S378;S383;S384,,Bas31 R1
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas31,S342,S377;S378;S383;S384,,Bas31 R2
Escherichia coli,BW25113,Keio,BW25113 dubseq in BW25113,Bas32,S411,S473;S474;S479,S480,Bas32 R1
