host,strain,nickname,library,phage,set,time0,no_phage_control,phage_rep
Escherichia coli,BW25113,Keio,ML9,Bas03,set61S1,set61S617;set61S618;set61S619,set61S89;set61S90,Bas03 R1
Escherichia coli,BW25113,Keio,ML9,Bas03,set61S2,set61S617;set61S618;set61S619,set61S89;set61S90,Bas03 R2
Escherichia coli,BW25113,Keio,ML9,Bas12,set61S3,set61S617;set61S618;set61S619,set61S89;set61S90,Bas12 R1
Escherichia coli,BW25113,Keio,ML9,Bas12,set61S4,set61S617;set61S618;set61S619,set61S89;set61S90,Bas12 R2
Escherichia coli,BW25113,Keio,ML9,Bas22,set61S5,set61S617;set61S618;set61S619,set61S89;set61S90,Bas22 R1
Escherichia coli,BW25113,Keio,ML9,Bas22,set61S6,set61S617;set61S618;set61S619,set61S89;set61S90,Bas22 R2
Escherichia coli,BW25113,Keio,ML9,Bas35,set61S7,set61S620;set61S621;set61S622,set61S95;set61S96,Bas35 R1
Escherichia coli,BW25113,Keio,ML9,Bas35,set61S8,set61S620;set61S621;set61S622,set61S95;set61S96,Bas35 R2
Escherichia coli,BW25113,Keio,ML9,Bas51,set61S9,set61S620;set61S621;set61S622,set61S95;set61S96,Bas51 R1
Escherichia coli,BW25113,Keio,ML9,Bas51,set61S10,set61S620;set61S621;set61S622,set61S95;set61S96,Bas51 R2
Escherichia coli,BW25113,Keio,ML9,Bas63,set61S11,set61S620;set61S621;set61S622,set61S95;set61S96,Bas63 R1
Escherichia coli,BW25113,Keio,ML9,Bas63,set61S12,set61S620;set61S621;set61S622,set61S95;set61S96,Bas63 R2
Escherichia coli,BW25113,Keio,ML9,Bas04,set61S13,set61S617;set61S618;set61S619,set61S89;set61S90,Bas04 R1
Escherichia coli,BW25113,Keio,ML9,Bas04,set61S14,set61S617;set61S618;set61S619,set61S89;set61S90,Bas04 R2
Escherichia coli,BW25113,Keio,ML9,Bas13,set61S15,set61S617;set61S618;set61S619,set61S89;set61S90,Bas13 R1
Escherichia coli,BW25113,Keio,ML9,Bas13,set61S16,set61S617;set61S618;set61S619,set61S89;set61S90,Bas13 R2
Escherichia coli,BW25113,Keio,ML9,Bas27,set61S17,set61S617;set61S618;set61S619,set61S89;set61S90,Bas27 R1
Escherichia coli,BW25113,Keio,ML9,Bas27,set61S18,set61S617;set61S618;set61S619,set61S89;set61S90,Bas27 R2
Escherichia coli,BW25113,Keio,ML9,Bas36,set61S19,set61S620;set61S621;set61S622,set61S95;set61S96,Bas36 R1
Escherichia coli,BW25113,Keio,ML9,Bas36,set61S20,set61S620;set61S621;set61S622,set61S95;set61S96,Bas36 R2
Escherichia coli,BW25113,Keio,ML9,Bas52,set61S21,set61S620;set61S621;set61S622,set61S95;set61S96,Bas52 R1
Escherichia coli,BW25113,Keio,ML9,Bas52,set61S22,set61S620;set61S621;set61S622,set61S95;set61S96,Bas52 R2
Escherichia coli,BW25113,Keio,ML9,Bas64,set61S23,set61S620;set61S621;set61S622,set61S95;set61S96,Bas64 R1
Escherichia coli,BW25113,Keio,ML9,Bas05,set61S25,set61S617;set61S618;set61S619,set61S89;set61S90,Bas05 R1
Escherichia coli,BW25113,Keio,ML9,Bas05,set61S26,set61S617;set61S618;set61S619,set61S89;set61S90,Bas05 R2
Escherichia coli,BW25113,Keio,ML9,Bas14,set61S27,set61S617;set61S618;set61S619,set61S89;set61S90,Bas14 R1
Escherichia coli,BW25113,Keio,ML9,Bas14,set61S28,set61S617;set61S618;set61S619,set61S89;set61S90,Bas14 R2
Escherichia coli,BW25113,Keio,ML9,Bas28,set61S29,set61S617;set61S618;set61S619,set61S89;set61S90,Bas28 R1
Escherichia coli,BW25113,Keio,ML9,Bas28,set61S30,set61S617;set61S618;set61S619,set61S89;set61S90,Bas28 R2
Escherichia coli,BW25113,Keio,ML9,Bas37,set61S31,set61S620;set61S621;set61S622,set61S95;set61S96,Bas37 R1
Escherichia coli,BW25113,Keio,ML9,Bas37,set61S32,set61S620;set61S621;set61S622,set61S95;set61S96,Bas37 R2
Escherichia coli,BW25113,Keio,ML9,Bas54,set61S33,set61S620;set61S621;set61S622,set61S95;set61S96,Bas54 R1
Escherichia coli,BW25113,Keio,ML9,Bas54,set61S34,set61S620;set61S621;set61S622,set61S95;set61S96,Bas54 R2
Escherichia coli,BW25113,Keio,ML9,Bas06,set61S37,set61S617;set61S618;set61S619,set61S89;set61S90,Bas06 R1
Escherichia coli,BW25113,Keio,ML9,Bas06,set61S38,set61S617;set61S618;set61S619,set61S89;set61S90,Bas06 R2
Escherichia coli,BW25113,Keio,ML9,Bas15,set61S39,set61S617;set61S618;set61S619,set61S89;set61S90,Bas15 R1
Escherichia coli,BW25113,Keio,ML9,Bas15,set61S40,set61S617;set61S618;set61S619,set61S89;set61S90,Bas15 R2
Escherichia coli,BW25113,Keio,ML9,Bas29,set61S41,set61S617;set61S618;set61S619,set61S89;set61S90,Bas29 R1
Escherichia coli,BW25113,Keio,ML9,Bas29,set61S42,set61S617;set61S618;set61S619,set61S89;set61S90,Bas29 R2
Escherichia coli,BW25113,Keio,ML9,Bas39,set61S43,set61S620;set61S621;set61S622,set61S95;set61S96,Bas39 R1
Escherichia coli,BW25113,Keio,ML9,Bas39,set61S44,set61S620;set61S621;set61S622,set61S95;set61S96,Bas39 R2
Escherichia coli,BW25113,Keio,ML9,Bas56,set61S45,set61S620;set61S621;set61S622,set61S95;set61S96,Bas56 R1
Escherichia coli,BW25113,Keio,ML9,Bas56,set61S46,set61S620;set61S621;set61S622,set61S95;set61S96,Bas56 R2
Escherichia coli,BW25113,Keio,ML9,Bas69,set61S47,set61S620;set61S621;set61S622,set61S95;set61S96,Bas69 R1
Escherichia coli,BW25113,Keio,ML9,Bas69,set61S48,set61S620;set61S621;set61S622,set61S95;set61S96,Bas69 R2
