phage,Genotype,EOP,EOP (complemented)
Bas08,ΔgalU,-0.918884254,0.029963223
Bas38,ΔgalU,-4.753318981,-0.283505651
Bas46,ΔgalU,-1.157123419,-0.040617851
Bas47,ΔgalU,-0.865301426,-0.108339475
Bas48,ΔgalU,-10.24303805,0.196294645
Bas50,ΔgalU,-3.614648608,0.084320886
Bas51,ΔgalU,-1.212088912,-0.087150176
Bas52,ΔgalU,-4.045757201,0.021189299
Bas55,ΔgalU,-0.896459408,0.141329153
Bas58,ΔgalU,-4.951936073,0.116777258
Bas60,ΔgalU,-10.33243846,-0.186310424
Bas61,ΔgalU,-10.17609126,-0.08795517
Bas62,ΔgalU,-5.668998095,0.071355909
C16,ΔgalU,-3.518505257,0.410904984
CEV1,ΔgalU,-1.185636575,0.044812344
EV116,ΔgalU,-3.72353792,-0.124938737
EV146,ΔgalU,-1.057991947,0.0
K11,ΔgalU,-3.636821229,0.103540592
K20,ΔgalU,-3.831087181,-0.433147317
KCP031,ΔgalU,-0.963087913,-0.537119183
L25,ΔgalU,-3.180456049,-0.180456064
LZ1,ΔgalU,-4.778064402,0.0
LZ6,ΔgalU,-3.69896132,0.255272504
Mnm1,ΔgalU,-4.970019405,-0.06694679
Mpec11,ΔgalU,-0.196820744,-0.050692708
NpE,ΔgalU,-3.022276386,0.021189299
NpM,ΔgalU,-4.037788403,0.034762106
NpN,ΔgalU,-3.073786021,0.118099312
NpV,ΔgalU,-5.361640986,0.182340208
RB51,ΔgalU,-6.609064893,-0.287019281
RB68,ΔgalU,-5.653125664,0.0
RB69,ΔgalU,-1.172630727,-0.017728767
T2,ΔgalU,-2.865301339,-0.087150176
TP5,ΔgalU,-0.95452461,-0.011429462
phi92,ΔgalU,-8.893946608,0.106053392
Bas02,ΔwaaC,-0.615423953,-0.120573931
Bas05,ΔwaaC,-1.025554104,-0.589825535
Bas06,ΔwaaC,-0.793945517,0.029963223
Bas07,ΔwaaC,-0.278753601,0.16840443
Bas08,ΔwaaC,-10.27106677,-0.028028724
Bas09,ΔwaaC,-0.522878745,0.062147907
Bas10,ΔwaaC,-0.809185484,0.014723257
Bas12,ΔwaaC,-0.636822098,0.103540592
Bas14,ΔwaaC,-1.04575749,-0.279840697
Bas15,ΔwaaC,-1.986636023,-0.103749437
Bas16,ΔwaaC,-0.87221342,0.367159674
Bas17,ΔwaaC,-0.956534305,0.101457641
Bas18,ΔwaaC,-9.194976603,0.202963405
Bas19,ΔwaaC,-9.383216752,0.315753252
Bas20,ΔwaaC,-9.265211028,0.278857017
Bas21,ΔwaaC,-0.613959215,-0.091080469
Bas22,ΔwaaC,-3.28429502,-0.271066772
Bas23,ΔwaaC,-0.691283176,-0.316824263
Bas24,ΔwaaC,-0.77003336,0.150785394
Bas25,ΔwaaC,-9.661181444,-0.087150176
Bas26,ΔwaaC,-3.698969136,-0.070581074
Bas29,ΔwaaC,-0.967330883,0.441793292
Bas34,ΔwaaC,-0.937852092,0.208275942
Bas36,ΔwaaC,-9.970036777,-0.053582828
Bas38,ΔwaaC,-9.452297671,-0.054357662
Bas39,ΔwaaC,-5.278744915,-0.181843588
Bas40,ΔwaaC,-2.425968723,-0.306782325
Bas41,ΔwaaC,-6.300943145,-0.647817482
Bas42,ΔwaaC,-0.881900687,-0.124938737
Bas43,ΔwaaC,-4.916445263,-0.875061263
Bas44,ΔwaaC,-1.204119972,-0.338818556
Bas45,ΔwaaC,-5.213864028,0.22184875
Bas46,ΔwaaC,-9.669006781,-0.040617851
Bas47,ΔwaaC,-3.70607792,0.243843043
Bas48,ΔwaaC,-10.24303805,0.057991947
Bas50,ΔwaaC,-9.544068044,0.455931956
Bas51,ΔwaaC,-10.26324143,-0.263241435
Bas52,ΔwaaC,-10.22184875,-0.045757491
Bas55,ΔwaaC,-10.3357921,-0.335792102
Bas58,ΔwaaC,-10.1949766,-0.018885344
Bas60,ΔwaaC,-10.33243846,-0.156347201
Bas61,ΔwaaC,-10.17609126,0.22184875
Bas62,ΔwaaC,-10.36797679,-0.06694679
Bas64,ΔwaaC,-4.832505438,-0.054357662
Bas65,ΔwaaC,-4.31806264,-0.113943352
Bas66,ΔwaaC,-5.278744915,-0.102662342
Bas67,ΔwaaC,-2.35654732,-0.22184875
Bas68,ΔwaaC,-3.756961703,0.096910013
C16,ΔwaaC,-8.217483947,0.259637309
CEV1,ΔwaaC,-9.583576586,0.093117024
CEV2,ΔwaaC,-0.840299157,-0.310789833
CM8,ΔwaaC,-10.47712125,-0.587819552
CM8m1,ΔwaaC,-9.135662602,0.075190763
CM8m3,ΔwaaC,-2.861695725,0.051152522
CM8m4,ΔwaaC,-1.063669072,0.019305155
CPL00121,ΔwaaC,-0.346787486,-0.249877473
CPL00124,ΔwaaC,-0.659098492,-0.256610856
CPL00136,ΔwaaC,-0.162727297,0.458637849
CPL00144L,ΔwaaC,-0.706148589,-0.46311054
CPL00146S,ΔwaaC,-0.530704083,-0.094975513
CPL00151,ΔwaaC,-0.278167113,0.031135409
CPL00187,ΔwaaC,-0.793945517,-0.025554104
CPL00220,ΔwaaC,-0.397940009,0.041392685
CPL00224,ΔwaaC,0.326246784,0.305725117
CPL00229,ΔwaaC,-0.116505569,-0.116505569
EV116,ΔwaaC,-9.920818754,0.477121255
EV146,ΔwaaC,-10.30103,-0.301029996
EV240,ΔwaaC,-9.726998728,-0.15296746
JK16,ΔwaaC,-0.330484975,0.131124114
JK23,ΔwaaC,-10.41218045,0.542062062
JK32,ΔwaaC,-0.759450752,-0.075720714
JK36,ΔwaaC,-0.6809469,0.405239247
JK38,ΔwaaC,-4.972846175,-0.315270435
JK42,ΔwaaC,-0.505149978,0.318758763
JK45,ΔwaaC,-0.855317205,-0.077165955
K11,ΔwaaC,-9.335792102,-0.034762106
K18,ΔwaaC,-4.313993394,-0.012964977
K20,ΔwaaC,-10.30820858,-0.512328563
K25,ΔwaaC,-0.598599459,-0.075720714
KCP055,ΔwaaC,-0.944482672,-0.602059991
KCP064,ΔwaaC,-10.92081875,-0.142667504
KCP072,ΔwaaC,-4.701592569,0.035164417
L25,ΔwaaC,-2.22141467,0.079181246
LZ1,ΔwaaC,-8.477121256,0.45229767
LZ10,ΔwaaC,-10.3357921,-0.197489404
LZ4,ΔwaaC,-5.060689155,0.291484678
LZ5,ΔwaaC,-4.405763767,-0.243038049
LZ6,ΔwaaC,-3.958591524,0.176091258
Lambda,ΔwaaC,-1.168603237,-0.092214892
M1,ΔwaaC,-8.920818754,0.130333768
MPec26,ΔwaaC,-0.698970004,-0.086186148
Mpec11,ΔwaaC,-2.050581022,0.007299239
Mpec2,ΔwaaC,-1.010995384,-0.124938737
NpAA,ΔwaaC,-1.237088716,-0.172363387
NpG,ΔwaaC,-0.22184875,0.322219295
NpJ,ΔwaaC,-6.194889753,0.185234638
NpR,ΔwaaC,-9.425968732,-0.483960679
NpS,ΔwaaC,-2.401145144,-0.137903714
NpW,ΔwaaC,-10.77815125,0.273001272
Ox2,ΔwaaC,-0.714764271,0.029963223
Ox4,ΔwaaC,-9.054357663,0.246672333
RB33,ΔwaaC,-1.554593157,-0.041698634
RB38,ΔwaaC,-0.315753252,-0.079181246
RB49,ΔwaaC,-0.124938737,-0.037788561
RB51,ΔwaaC,-10.00717858,0.043973938
RB51m1,ΔwaaC,-9.801632346,-0.148419832
RB68,ΔwaaC,-9.352182518,0.087150176
RB68m1,ΔwaaC,-5.054348977,-0.124938737
RB69,ΔwaaC,-10.31875876,-0.017728767
Sew9,ΔwaaC,-4.899785772,0.100212649
T2,ΔwaaC,-1.387456947,0.231608587
T4,ΔwaaC,-1.439541537,-0.238882089
T5,ΔwaaC,-0.367976785,-0.301029996
T6,ΔwaaC,-0.970036776,-0.040617851
T7,ΔwaaC,-9.790050474,-0.091080469
TP3,ΔwaaC,-1.483960679,-0.124938737
TP5,ΔwaaC,-10.10833947,-0.108339475
TulB,ΔwaaC,-10.72699873,-0.613055376
phi92,ΔwaaC,-8.893946608,0.106053392
Bas02,ΔwaaF,-0.288065018,-0.740362689
Bas05,ΔwaaF,-0.464886798,-0.3265841
Bas06,ΔwaaF,-0.43855786,-0.06694679
Bas07,ΔwaaF,0.265314443,0.01128101
Bas08,ΔwaaF,-10.27106677,-0.642677842
Bas09,ΔwaaF,-0.406373176,-0.092754053
Bas10,ΔwaaF,-0.103036895,0.035912556
Bas12,ΔwaaF,-0.707403172,0.103540592
Bas14,ΔwaaF,-0.434742657,-0.170696227
Bas15,ΔwaaF,-0.705809428,-0.073786214
Bas16,ΔwaaF,-0.227601078,0.596307662
Bas17,ΔwaaF,-0.324511091,0.043465694
Bas18,ΔwaaF,-9.194976603,0.202963405
Bas19,ΔwaaF,-5.684159897,0.616783248
Bas20,ΔwaaF,-3.20451281,0.211910227
Bas21,ΔwaaF,-0.216019206,-0.091080469
Bas22,ΔwaaF,-1.367976785,-0.06694679
Bas23,ΔwaaF,-0.617854258,-0.492915522
Bas24,ΔwaaF,-0.645094623,-0.159018526
Bas25,ΔwaaF,-5.221832957,-0.00796893
Bas26,ΔwaaF,-0.657577319,0.004321374
Bas29,ΔwaaF,0.189455221,0.670941281
Bas34,ΔwaaF,-0.1744241,0.208275942
Bas36,ΔwaaF,-0.316824263,0.234083206
Bas38,ΔwaaF,0.05958569,-0.209259622
Bas39,ΔwaaF,0.136219747,0.374458913
Bas40,ΔwaaF,-0.265389639,0.073428917
Bas41,ΔwaaF,-0.580870691,-0.182930683
Bas42,ΔwaaF,-0.086020671,0.148062535
Bas43,ΔwaaF,-1.041392684,-0.895264649
Bas44,ΔwaaF,0.257761303,0.212003813
Bas45,ΔwaaF,-0.589825535,-0.89085553
Bas46,ΔwaaF,-0.580870692,0.029963223
Bas47,ΔwaaF,-0.388180171,-0.097615609
Bas48,ΔwaaF,-10.24303805,-0.191885526
Bas50,ΔwaaF,-9.544068044,0.385350881
Bas51,ΔwaaF,-10.26324143,-0.231832971
Bas52,ΔwaaF,-10.22184875,-0.124938737
Bas55,ΔwaaF,-10.3357921,0.016390416
Bas58,ΔwaaF,-10.1949766,0.048061445
Bas60,ΔwaaF,-10.33243846,0.019744058
Bas61,ΔwaaF,-10.17609126,0.06694679
Bas62,ΔwaaF,-10.36797679,0.143906576
Bas64,ΔwaaF,-0.417535565,-0.417535565
Bas65,ΔwaaF,-0.870905303,-0.268845312
Bas66,ΔwaaF,-0.676693609,-0.538390911
Bas67,ΔwaaF,-1.0,-0.22184875
Bas68,ΔwaaF,-0.647817482,-0.425968732
C16,ΔwaaF,-0.027152246,-0.12057393
CEV1,ΔwaaF,-0.708515322,0.467575937
CEV2,ΔwaaF,-0.539269161,-0.21387982
CM8,ΔwaaF,-0.301029996,-0.455931956
CM8m1,ΔwaaF,-0.737722592,-0.482450088
CM8m3,ΔwaaF,-0.312025378,-0.230992128
CM8m4,ΔwaaF,-0.564271428,-0.138302698
CPL00151,ΔwaaF,-0.370921166,-0.149072416
CPL00187,ΔwaaF,-0.808668774,-0.492915522
EV116,ΔwaaF,-9.920818754,0.176091259
EV146,ΔwaaF,-10.30103,0.0
EV240,ΔwaaF,-0.301029996,-0.793945517
JK16,ΔwaaF,0.235859464,-0.162080545
