Phage,ID,x,y
AF069308,10231,-1488.3055429171382,79.03679768331108
AB255436,10229,-1563.924622506982,52.47179524190483
AF069529,10227,-1477.399476022607,49.15320698506889
AF125520,10225,-1614.0582894991694,-36.01451762430611
AJ556162,10223,-1573.5357675265132,40.766396682334516
AP000363,10221,-1500.6793222140132,29.505837600303266
AP004402,10219,-1612.8143930147944,-53.064596970009234
AP005153,10217,-1497.795472116357,40.605324904990766
AP005154,10215,-1568.2003183077632,-97.28911479227486
AP012529,10213,-1608.499573678857,20.675316970420454
AP012530,10211,-1575.2590341280757,38.91126362569389
AP012531,10209,-1545.2788095187007,-80.68413432352486
AP012532,10207,-1577.4459237765132,-28.76299174539986
AP012533,10205,-1517.3991708468257,-31.239401657509234
AP012534,10203,-1658.9445810030757,1.8708888698345163
AP012535,10201,-1565.8102426241694,-56.341879684852984
AP012536,10199,-1563.2186898897944,35.921242873740766
AP012537,10197,-1486.1221933077632,3.4607936549907663
AP012538,10195,-1531.1782235812007,14.037896316123579
AP012539,10193,-1540.5354013155757,25.152505080772016
AP012540,10191,-1500.2855844210444,-5.203619797157671
Bas106,10189,-1447.4510507296382,8.768700759482954
EU078592,10187,-1616.1953134249507,70.6482783962017
EU311208,10185,-1531.729798288232,-38.60198100321236
HG792102,10183,-1653.3621835421382,-46.89665873758736
HG792103,10181,-1543.5826425265132,-117.78148539774361
HM173637,10179,-1501.2204599093257,153.22709767110405
HM208303,10177,-1596.5484628390132,-81.58568461649361
HQ424691,10175,-1636.0203866671382,-45.658652145790484
J02459,10173,-1535.988343210107,36.08861653096733
JQ011318,10171,-1584.7765512179194,-102.81294902079048
JQ086369,10169,-1480.6925058077632,64.42890278585014
JQ086374,10167,-1428.9093637179194,36.52880207784233
JQ086376,10165,-1527.5936898897944,100.52143208272514
JQ086377,10163,-1507.949036569482,112.75050465352592
JQ182727,10161,-1420.2274789522944,87.37346760518608
JQ182732,10159,-1494.4467782687007,90.66050068624077
JQ182735,10157,-1531.1488656710444,120.84281269795952
JQ347801,10155,-1546.6620492647944,55.871926467490766
KF030445,10153,-1508.406556100732,23.963479201865766
KF971864,10151,-1613.735901803857,-88.79592021219673
KJ909655,10149,-1508.7979745577632,-38.10057719461861
KP682371,10147,-1617.688538522607,-64.41988261454048
KP682372,10145,-1533.9665536593257,-59.422446091102984
KP682373,10143,-1523.106751413232,-42.12596781961861
KP682374,10141,-1611.386780710107,-53.97057231180611
KP682375,10139,-1573.7636727999507,-62.49120219461861
KP682376,10137,-1633.5618905733882,26.166421096397016
KP682377,10135,-1559.965393991357,-15.892416794227984
KP682378,10133,-1578.1964730929194,12.706383864951704
KP682379,10131,-1500.1055917452632,-78.98223002664986
KP682380,10129,-1554.8095102022944,-51.13786967508736
KP682381,10127,-1530.3665780733882,7.818917434287641
KP682382,10125,-1625.063294381982,-11.093298752235796
KP682383,10123,-1618.672669381982,-21.91370280497017
KP682384,10121,-1521.2850961397944,-54.32500346414986
KP682385,10119,-1551.4434823702632,-43.970908005165484
KP682386,10117,-1498.2689218233882,-30.55296977274361
KP682387,10115,-1497.0704354952632,-54.296469528602984
KP682388,10113,-1534.9588632296382,-37.95958598368111
KP682389,10111,-1483.0756234835444,-43.50469096414986
KP682390,10109,-1591.6652230929194,14.119698684287641
KP682391,10107,-1602.001770944482,-13.008414108681109
KP682392,10105,-1616.7899179171382,-10.024054367470171
KT232076,10103,-1591.5847177218257,88.54212300069389
KU298437,10101,-1646.5170297335444,-49.83049662821236
KY914478,10099,-1606.1977548312007,-93.75520976297798
Lambda,10097,-1536.5551767062007,50.14666096456108
MG197996,10095,-1487.1802987765132,12.796593825889204
MG710528,10093,-1560.982239694482,-107.17186625711861
MG986485,10091,-1541.0247811983882,-77.39079936258736
MN067333,10089,-1523.6063241671382,-100.86519511454048
MN340231,10087,-1483.6657113741694,137.24112049825249
MT225100,10085,-1507.6964120577632,13.883263747764204
MT225101,10083,-1544.5736093233882,3.853356521201704
MZ043897,10081,-1497.367249460107,127.9391719508892
OL657226,10079,-1514.9978036593257,9.909203689170454
OL657227,10077,-1577.659729928857,63.136803786826704
OL657228,10075,-1645.9098519991694,20.214013259482954
OM418625,10073,-1607.0104379366694,70.46714131124077
OM418626,10071,-1508.6559457491694,22.05225483663139
OM418627,10069,-1535.4183358858882,30.69092671163139
ON416862,10067,-1596.638245553857,56.693322341514204
ON470594,10065,-1457.6363534640132,-1.7940891575092337
OP797663,10063,-1546.1761483858882,-6.461020309852984
OR974322,10061,-1574.3158578585444,77.87978474385795
OV696612,10059,-1622.2701425265132,32.222817580772016
PP925837,10057,-1625.7807016085444,21.35161701924858
PP925838,10055,-1574.522034616357,84.73220173604545
PQ657771,10053,-1518.489075631982,143.47488514668999
PQ850599,10051,-1506.180481881982,74.65522114522514
PV340536,10049,-1480.181214303857,23.67315022237358
PV340539,10047,-1567.8776254366694,55.737206618857954
PV340543,10045,-1430.2010507296382,71.59002033956108
TP9,10043,-1532.4398202608882,-152.69048197977486
AB285204,10041,-1601.6303720187007,120.13153187520561
CP025712,10039,-1610.3519906710444,159.01838032491264
MF374379,10037,-1631.6078500460444,128.9648296046978
MF807953,10035,-1551.5316171358882,85.7494746852642
NpA,10033,-1562.7430429171382,134.76152912862358
ON470603,10031,-1603.6105966280757,213.7832175899273
OP434518,10029,-1510.8238534640132,131.97886006124077
OQ243220,10027,-1647.974915475732,61.97174946553764
OR670062,10025,-1647.8541269015132,134.0652705837017
OV696610,10023,-1592.3131112765132,123.40551869161186
PP925821,10021,-1562.995667428857,182.6266071010357
PP925827,10019,-1542.9880380343257,130.56701771504936
PP925829,10017,-1647.5865487765132,3.1055995631938913
PP925833,10015,-1581.171448678857,54.11634175069389
PP925841,10013,-1494.3275155733882,130.85293690450249
AF064539,10011,-1559.2646493624507,149.39804188497124
JQ086372,10009,-1434.481263131982,148.68326679952202
JQ086373,10007,-1450.4696054171382,163.22782246358452
JQ182726,10005,-1428.770325631982,103.83164326436577
KY979108,10003,-1456.9376840304194,92.55046955831108
MK524177,10001,-1357.109681100732,258.0521289516216
NpD,9999,-1376.0690316866694,112.35891072042045
NpK,9997,-1379.6539926241694,175.4695445705181
ON470596,9995,-1779.3955087374507,-3.9830540012592337
ON470604,9993,-1754.9605722140132,19.777383010459516
PP925832,9991,-1380.664856881982,146.94030110127983
PV340544,9989,-1443.4767465304194,68.29178730733452
CP000711,9987,-1516.6719979952632,157.61701313741264
JF974339,9985,-1363.020081491357,123.98508564717827
JN600960,9983,-1389.9588632296382,84.87326924092827
MH717096,9981,-1424.9103402804194,133.0625850368267
MT740315,9979,-1501.2402352999507,100.25617329366264
