locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
ECD_00001	ECD_00001	1	CP001509	190	255	+		thr operon leader peptide
ECD_00002	ECD_00002	1	CP001509	336	2798	+		Bifunctional aspartokinase/homoserine dehydrogenase 1
ECD_00003	ECD_00003	1	CP001509	2800	3732	+		homoserine kinase
ECD_00004	ECD_00004	1	CP001509	3733	5019	+		L-threonine synthase
ECD_00005	ECD_00005	1	CP001509	5232	5528	+		DUF2502 family putative periplasmic protein
ECD_00006	ECD_00006	1	CP001509	5681	6457	-		peroxide resistance protein, lowers intracellular iron
ECD_00007	ECD_00007	1	CP001509	6527	7957	-		putative transporter
ECD_00008	ECD_00008	1	CP001509	8236	9189	+		transaldolase B
ECD_00009	ECD_00009	1	CP001509	9304	9891	+		molybdochelatase incorporating molybdenum into molybdopterin
ECD_00010	ECD_00010	1	CP001509	9926	10492	-		succinate-acetate transporter
ECD_00011	ECD_00011	1	CP001509	10641	11354	-		UPF0174 family protein
ECD_00012	ECD_00012	1	CP001509	10828	11313	+		hypothetical protein
ECD_00013	ECD_00013	1	CP001509	11380	11784	-		UPF0412 family protein
ECD_00014	ECD_00014	1	CP001509	12161	14077	+		chaperone Hsp70, with co-chaperone DnaJ
ECD_00015	ECD_00015	1	CP001509	14166	15296	+		chaperone Hsp40, DnaK co-chaperone
ECD_00016	ECD_00016	1	CP001509	15443	16555	+		IS186 hypothetical protein
ECD_00017	ECD_00017	1	CP001509	16749	16958	-		regulatory protein for HokC
ECD_00018	ECD_00018	1	CP001509	17488	18654	+		sodium-proton antiporter
ECD_00019	ECD_00019	1	CP001509	18714	19619	+		transcriptional activator of nhaA
ECD_00020	ECD_00020	1	CP001509	19658	20617	-		hypothetical protein
ECD_00021	ECD_00021	1	CP001509	20630	21775	-		putative usher protein
ECD_00022	ECD_00022	1	CP001509	22208	22912	-		hypothetical protein
ECD_00023	ECD_00023	1	CP001509	23346	23621	+		IS1 protein InsA
ECD_00024	ECD_00024	1	CP001509	23540	24043	+		IS1 protein InsB
ECD_00025	ECD_00025	1	CP001509	24054	24404	-		hypothetical protein
ECD_00026	ECD_00026	1	CP001509	24701	24865	-		hypothetical protein
ECD_00027	ECD_00027	1	CP001509	24887	25150	-		30S ribosomal subunit protein S20
ECD_00028	ECD_00028	1	CP001509	25253	25471	+		uncharacterized protein
ECD_00029	ECD_00029	1	CP001509	25479	26420	+		bifunctional riboflavin kinase/FAD synthetase
ECD_00030	ECD_00030	1	CP001509	26463	29279	+		isoleucyl-tRNA synthetase
ECD_00031	ECD_00031	1	CP001509	29279	29773	+		prolipoprotein signal peptidase (signal peptidase II)
ECD_00032	ECD_00032	1	CP001509	29898	30347	+		FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
ECD_00033	ECD_00033	1	CP001509	30349	31299	+		4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
ECD_00034	ECD_00034	1	CP001509	31365	32279	+		ribonucleoside hydrolase 3
ECD_00035	ECD_00035	1	CP001509	32446	33267	+		dihydrodipicolinate reductase
ECD_00036	ECD_00036	1	CP001509	33723	34871	+		carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
ECD_00037	ECD_00037	1	CP001509	34889	38110	+		carbamoyl-phosphate synthase large subunit
ECD_00038	ECD_00038	1	CP001509	38372	38767	+		cai operon transcriptional activator
ECD_00039	ECD_00039	1	CP001509	38976	39566	-		stimulator of CaiD and CaiB enzyme activities
ECD_00040	ECD_00040	1	CP001509	39572	40465	-		carnitinyl-CoA dehydratase
ECD_00041	ECD_00041	1	CP001509	40466	42019	-		putative crotonobetaine/carnitine-CoA ligase
ECD_00043	ECD_00043	1	CP001509	43438	44580	-		crotonobetaine reductase subunit II, FAD-binding
ECD_00044	ECD_00044	1	CP001509	44611	46125	-		putative transporter
ECD_00045	ECD_00045	1	CP001509	46599	47369	+		anaerobic carnitine reduction putative electron transfer flavoprotein subunit
ECD_00046	ECD_00046	1	CP001509	47384	48325	+		putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
ECD_00047	ECD_00047	1	CP001509	48376	49662	+		putative oxidoreductase
ECD_00048	ECD_00048	1	CP001509	49659	49946	+		putative 4Fe-4S ferredoxin-type protein
ECD_00049	ECD_00049	1	CP001509	50003	51334	+		putative MFS sugar transporter; membrane protein
ECD_00050	ECD_00050	1	CP001509	51442	51972	+		potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent
ECD_00051	ECD_00051	1	CP001509	51965	53827	+		potassium:proton antiporter
ECD_00052	ECD_00052	1	CP001509	54019	54498	+		dihydrofolate reductase
ECD_00053	ECD_00053	1	CP001509	54576	55418	-		diadenosine tetraphosphatase
ECD_00054	ECD_00054	1	CP001509	55425	55802	-		protein associated with Co2+ and Mg2+ efflux
ECD_00055	ECD_00055	1	CP001509	55805	56626	-		16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
ECD_00056	ECD_00056	1	CP001509	56623	57612	-		4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
ECD_00057	ECD_00057	1	CP001509	57612	58898	-		peptidyl-prolyl cis-trans isomerase (PPIase)
ECD_00058	ECD_00058	1	CP001509	58951	61305	-		LPS assembly OM complex LptDE, beta-barrel component
ECD_00059	ECD_00059	1	CP001509	61560	62375	+		membrane-anchored DnaK co-chaperone, DNA-binding protein
ECD_00060	ECD_00060	1	CP001509	62492	63151	-		dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
ECD_00061	ECD_00061	1	CP001509	63163	66069	-		RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase
ECD_00062	ECD_00062	1	CP001509	66234	68585	-		DNA polymerase II
ECD_00063	ECD_00063	1	CP001509	68660	69355	-		L-ribulose-5-phosphate 4-epimerase
ECD_00064	ECD_00064	1	CP001509	69640	71142	-		L-arabinose isomerase
ECD_00065	ECD_00065	1	CP001509	71153	72853	-		L-ribulokinase
ECD_00066	ECD_00066	1	CP001509	73192	74070	+		ara regulon transcriptional activator; autorepressor
ECD_00067	ECD_00067	1	CP001509	74156	74920	+		DedA family inner membrane protein
ECD_00068	ECD_00068	1	CP001509	75034	75732	-		thiamine/thiamine pyrophosphate ABC transporter ATPase
ECD_00069	ECD_00069	1	CP001509	75716	77326	-		thiamine/thiamine pyrophosphate ABC transporter permease
ECD_00070	ECD_00070	1	CP001509	77302	78285	-		thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein
ECD_00071	ECD_00071	1	CP001509	78449	80104	-		transcriptional DNA-binding transcriptional activator of sgrS sRNA
ECD_04293	ECD_04293	1	CP001509	80193	80324	+		inhibitor of glucose uptake
ECD_00072	ECD_00072	1	CP001509	80426	81604	+		broad specificity sugar efflux system
ECD_00073	ECD_00073	1	CP001509	81653	82258	-		3-isopropylmalate dehydratase small subunit
ECD_00074	ECD_00074	1	CP001509	82269	83669	-		3-isopropylmalate dehydratase large subunit
ECD_00075	ECD_00075	1	CP001509	83672	84763	-		3-isopropylmalate dehydrogenase, NAD(+)-dependent
ECD_00076	ECD_00076	1	CP001509	84763	86334	-		2-isopropylmalate synthase
ECD_00077	ECD_00077	1	CP001509	86427	86513	-		leu operon leader peptide
ECD_00078	ECD_00078	1	CP001509	87173	88117	+		global transcription factor
ECD_00079	ECD_00079	1	CP001509	88435	90159	+		acetolactate synthase 3 large subunit
ECD_00080	ECD_00080	1	CP001509	90162	90653	+		acetolactate synthase 3, small subunit, valine-sensitive
ECD_00081	ECD_00081	1	CP001509	90833	91837	+		transcriptional repressor-activator for carbon metabolism
ECD_00082	ECD_00082	1	CP001509	92439	92897	+		RsmH methytransferase inhibitor
ECD_00083	ECD_00083	1	CP001509	92899	93840	+		16S rRNA m(4)C1402 methyltransferase, SAM-dependent
ECD_00084	ECD_00084	1	CP001509	93837	94202	+		membrane bound cell division leucine zipper septum protein
ECD_00085	ECD_00085	1	CP001509	94218	95984	+		transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3
ECD_00086	ECD_00086	1	CP001509	95971	97458	+		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase
ECD_00087	ECD_00087	1	CP001509	97455	98813	+		UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
ECD_00088	ECD_00088	1	CP001509	98807	99889	+		phospho-N-acetylmuramoyl-pentapeptide transferase
ECD_00089	ECD_00089	1	CP001509	99892	101208	+		UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ECD_00090	ECD_00090	1	CP001509	101208	102452	+		putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer
ECD_00091	ECD_00091	1	CP001509	102449	103516	+		N-acetylglucosaminyl transferase
ECD_00092	ECD_00092	1	CP001509	103570	105045	+		UDP-N-acetylmuramate:L-alanine ligase
ECD_00093	ECD_00093	1	CP001509	105038	105958	+		D-alanine:D-alanine ligase
ECD_00094	ECD_00094	1	CP001509	105960	106790	+		divisome assembly protein, membrane anchored protein involved in growth of wall at septum
ECD_00095	ECD_00095	1	CP001509	106787	108049	+		ATP-binding cell division FtsK recruitment protein
ECD_00096	ECD_00096	1	CP001509	108110	109261	+		GTP-binding tubulin-like cell division protein
ECD_00097	ECD_00097	1	CP001509	109362	110279	+		UDP-3-O-acyl N-acetylglucosamine deacetylase
ECD_00098	ECD_00098	1	CP001509	110510	111022	+		regulator of secA translation
ECD_00099	ECD_00099	1	CP001509	111084	113789	+		preprotein translocase subunit, ATPase
ECD_00100	ECD_00100	1	CP001509	113849	114238	+		dGTP-preferring nucleoside triphosphate pyrophosphohydrolase
ECD_00101	ECD_00101	1	CP001509	114454	114651	-		DNA gyrase inhibitor
ECD_00102	ECD_00102	1	CP001509	114661	115404	-		FtsZ stabilizer
ECD_00103	ECD_00103	1	CP001509	115404	116024	-		dephospho-CoA kinase
ECD_00104	ECD_00104	1	CP001509	116249	117292	+		GMP reductase
ECD_00105	ECD_00105	1	CP001509	117327	118529	-		assembly protein in type IV pilin biogenesis, transmembrane protein
ECD_00106	ECD_00106	1	CP001509	118519	119904	-		T2SE secretion family protein; P-loop ATPase superfamily protein
ECD_00107	ECD_00107	1	CP001509	119914	120354	-		putative prepilin peptidase-dependent pilin
ECD_00108	ECD_00108	1	CP001509	120557	121450	-		quinolinate phosphoribosyltransferase
ECD_00109	ECD_00109	1	CP001509	121538	122089	+		1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
ECD_00110	ECD_00110	1	CP001509	122086	122940	+		ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
ECD_00111	ECD_00111	1	CP001509	122983	124356	-		aromatic amino acid transporter
ECD_00112	ECD_00112	1	CP001509	124897	125661	+		pyruvate dehydrogenase complex repressor; autorepressor
ECD_00113	ECD_00113	1	CP001509	125822	128485	+		pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
ECD_00114	ECD_00114	1	CP001509	128500	130392	+		pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
ECD_00115	ECD_00115	1	CP001509	130717	132141	+		dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase
ECD_00116	ECD_00116	1	CP001509	132212	134065	-		DUF3300 family protein
ECD_00117	ECD_00117	1	CP001509	134420	137017	+		aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase
ECD_00118	ECD_00118	1	CP001509	137192	137554	+		UPF0231 family protein
ECD_00119	ECD_00119	1	CP001509	137592	138386	-		S-adenosylmethionine decarboxylase
