locusId	scaffoldId	begin	end	strand	original_name	gene_type	rbtnseq_ref_locusId	product	sysName	name	desc	ecocyc_id
BW25113_0001	CP009273.1	190	255	+	thrL	CDS	14146	thr operon leader peptide	b0001	thrL	thr operon leader peptide (NCBI)	EG11277
BW25113_0002	CP009273.1	337	2799	+	thrA	CDS	14147	Bifunctional aspartokinase/homoserine dehydrogenase 1	b0002	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	EG10998
BW25113_0003	CP009273.1	2801	3733	+	thrB	CDS	14148	homoserine kinase	b0003	thrB	homoserine kinase (NCBI)	EG10999
BW25113_0004	CP009273.1	3734	5020	+	thrC	CDS	14149	L-threonine synthase	b0004	thrC	threonine synthase (NCBI)	EG11000
BW25113_0005	CP009273.1	5234	5530	+	yaaX	CDS	14150	DUF2502 family putative periplasmic protein	b0005	yaaX	hypothetical protein (NCBI)	G6081
BW25113_0006	CP009273.1	5683	6459	-	yaaA	CDS	14151	peroxide resistance protein%2C lowers intracellular iron	b0006	yaaA	hypothetical protein (NCBI)	EG10011
BW25113_0007	CP009273.1	6529	7959	-	yaaJ	CDS	14152	putative transporter	b0007	yaaJ	predicted transporter (NCBI)	EG11555
BW25113_0008	CP009273.1	8238	9191	+	talB	CDS	14153	transaldolase B	b0008	talB	transaldolase B (NCBI)	EG11556
BW25113_0009	CP009273.1	9306	9893	+	mog	CDS	14154	molybdochelatase incorporating molybdenum into molybdopterin	b0009	mogA	molybdenum cofactor biosynthesis protein (NCBI)	EG11511
BW25113_0010	CP009273.1	9928	10494	-	satP	CDS	14155	succinate-acetate transporter	b0010	satP	conserved inner membrane protein associated with acetate transport (NCBI)	EG11512
BW25113_0011	CP009273.1	10643	11356	-	yaaW	CDS	14156	UPF0174 family protein	b0011	yaaW	hypothetical protein (NCBI)	G6082
BW25113_0013	CP009273.1	11382	11786	-	yaaI	CDS	14158	UPF0412 family protein	b0013	yaaI	hypothetical protein (NCBI)	G8202
BW25113_0014	CP009273.1	12163	14079	+	dnaK	CDS	14159	chaperone Hsp70%2C with co-chaperone DnaJ	b0014	dnaK	molecular chaperone DnaK (NCBI)	EG10241
BW25113_0015	CP009273.1	14168	15298	+	dnaJ	CDS	14160	chaperone Hsp40%2C DnaK co-chaperone	b0015	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)	EG10240
BW25113_0016	CP009273.1	15445	16557	+	insL1	CDS		IS186 transposase		insL1	IS186 transposase	
BW25113_0018	CP009273.1	16751	16960	-	mokC	CDS	14163	regulatory protein for HokC%2C overlaps CDS of hokC	b0018	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)	EG10373
BW25113_4412	CP009273.1	16751	16903	-	hokC	CDS		toxic membrane protein%2C small		hokC	toxic membrane protein%2C small	
BW25113_4413	CP009273.1	16952	17006	+	sokC	ncRNA		sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation		sokC	sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation	
BW25113_0019	CP009273.1	17489	18655	+	nhaA	CDS	14164	sodium-proton antiporter	b0019	nhaA	pH-dependent sodium/proton antiporter (NCBI)	EG10652
BW25113_0020	CP009273.1	18715	19620	+	nhaR	CDS	14165	transcriptional activator of nhaA	b0020	nhaR	DNA-binding transcriptional activator (NCBI)	EG11078
BW25113_0021	CP009273.1	19811	20314	-	insB1	CDS		IS1 transposase B		insB1	IS1 transposase B	
BW25113_0022	CP009273.1	20233	20508	-	insA	CDS		IS1 repressor TnpA		insA	IS1 repressor TnpA	
BW25113_0023	CP009273.1	20815	21078	-	rpsT	CDS	14168	30S ribosomal subunit protein S20	b0023	rpsT	30S ribosomal protein S20 (NCBI)	EG10919
BW25113_0024	CP009273.1	21181	21399	+	yaaY	CDS	14169	uncharacterized protein	b0024	yaaY	hypothetical protein (NCBI)	G6087
