locusId	sysName	type	scaffoldId	begin	end	strand	original_name	desc	name	Product	ecocyc_id
14146	b0001	1	7023	190	255	+	thrL	thr operon leader peptide (NCBI)	thrL	<i>thr</i> operon leader peptide	EG11277
14147	b0002	1	7023	337	2799	+	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	thrA	fused aspartate kinase/homoserine dehydrogenase 1	EG10998
14148	b0003	1	7023	2801	3733	+	thrB	homoserine kinase (NCBI)	thrB	homoserine kinase	EG10999
14149	b0004	1	7023	3734	5020	+	thrC	threonine synthase (NCBI)	thrC	threonine synthase	EG11000
14150	b0005	1	7023	5234	5530	+	yaaX	hypothetical protein (NCBI)	yaaX	DUF2502 domain-containing protein YaaX	G6081
14151	b0006	1	7023	5683	6459	-	yaaA	hypothetical protein (NCBI)	yaaA	DNA binding and peroxide stress response protein YaaA	EG10011
14152	b0007	1	7023	6529	7959	-	yaaJ	predicted transporter (NCBI)	yaaJ	putative transporter YaaJ	EG11555
14153	b0008	1	7023	8238	9191	+	talB	transaldolase B (NCBI)	talB	transaldolase B	EG11556
14154	b0009	1	7023	9306	9893	+	mog	molybdenum cofactor biosynthesis protein (NCBI)	mogA	molybdopterin adenylyltransferase	EG11511
14155	b0010	1	7023	9928	10494	-	yaaH	conserved inner membrane protein associated with acetate transport (NCBI)	satP	acetate/succinate:H<sup>+</sup> symporter	EG11512
14156	b0011	1	7023	10643	11356	-	yaaW	hypothetical protein (NCBI)	yaaW	putative enzyme-specific chaperone YaaW	G6082
14158	b0013	1	7023	11382	11786	-	yaaI	hypothetical protein (NCBI)	yaaI	DUF2541 domain-containing protein YaaI	G8202
14159	b0014	1	7023	12163	14079	+	dnaK	molecular chaperone DnaK (NCBI)	dnaK	chaperone protein DnaK	EG10241
14160	b0015	1	7023	14168	15298	+	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)	dnaJ	chaperone protein DnaJ	EG10240
14161	b0016	1	7023	15445	16557	+	insL-1	IS186/IS421 transposase (NCBI)	insL1	IS186/IS421 family transposase	G6083
14163	b0018	1	7023	16751	16960	-	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)	mokC	regulatory protein MokC	EG10373
1936200	b4412	1	7023	16751	16903	-	hokC	toxic membrane protein, small (NCBI)	hokC	small toxic polypeptide HokC	G0-9563
1936201	b4413	6	7023	16952	17006	+	sokC	regulatory antisense RNA (NCBI)	sokC	small regulatory RNA antitoxin SokC	G0-9581
