locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
14146	b0001	1	7023	190	255	+	thrL	thr operon leader peptide (NCBI)
14147	b0002	1	7023	337	2799	+	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)
14148	b0003	1	7023	2801	3733	+	thrB	homoserine kinase (NCBI)
14149	b0004	1	7023	3734	5020	+	thrC	threonine synthase (NCBI)
14150	b0005	1	7023	5234	5530	+	yaaX	hypothetical protein (NCBI)
14151	b0006	1	7023	5683	6459	-	yaaA	hypothetical protein (NCBI)
14152	b0007	1	7023	6529	7959	-	yaaJ	predicted transporter (NCBI)
14153	b0008	1	7023	8238	9191	+	talB	transaldolase B (NCBI)
14154	b0009	1	7023	9306	9893	+	mog	molybdenum cofactor biosynthesis protein (NCBI)
14155	b0010	1	7023	9928	10494	-	yaaH	conserved inner membrane protein associated with acetate transport (NCBI)
14156	b0011	1	7023	10643	11356	-	yaaW	hypothetical protein (NCBI)
14158	b0013	1	7023	11382	11786	-	yaaI	hypothetical protein (NCBI)
14159	b0014	1	7023	12163	14079	+	dnaK	molecular chaperone DnaK (NCBI)
14160	b0015	1	7023	14168	15298	+	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)
14161	b0016	1	7023	15445	16557	+	insL-1	IS186/IS421 transposase (NCBI)
14163	b0018	1	7023	16751	16960	-	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)
1936200	b4412	1	7023	16751	16903	-	hokC	toxic membrane protein, small (NCBI)
1936201	b4413	6	7023	16952	17006	+	sokC	regulatory antisense RNA (NCBI)
14164	b0019	1	7023	17489	18655	+	nhaA	pH-dependent sodium/proton antiporter (NCBI)
14165	b0020	1	7023	18715	19620	+	nhaR	DNA-binding transcriptional activator (NCBI)
14166	b0021	1	7023	19811	20314	-	insB-1	IS1 transposase InsAB' (NCBI)
14167	b0022	1	7023	20233	20508	-	insA-1	IS1 repressor protein InsA (NCBI)
14168	b0023	1	7023	20815	21078	-	rpsT	30S ribosomal protein S20 (NCBI)
14169	b0024	1	7023	21181	21399	+	yaaY	hypothetical protein (NCBI)
14170	b0025	1	7023	21407	22348	+	ribF	hypothetical protein (NCBI)
14171	b0026	1	7023	22391	25207	+	ileS	isoleucyl-tRNA synthetase (NCBI)
14172	b0027	1	7023	25207	25701	+	lspA	signal peptidase II (NCBI)
14173	b0028	1	7023	25826	26275	+	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)
14174	b0029	1	7023	26277	27227	+	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)
14175	b0030	1	7023	27293	28207	+	rihC	ribonucleoside hydrolase 3 (NCBI)
14176	b0031	1	7023	28374	29195	+	dapB	dihydrodipicolinate reductase (NCBI)
14177	b0032	1	7023	29651	30799	+	carA	carbamoyl-phosphate synthase small subunit (NCBI)
14178	b0033	1	7023	30817	34038	+	carB	carbamoyl-phosphate synthase large subunit (NCBI)
14180	b0034	1	7023	34300	34695	+	caiF	transcriptional regulator of cai operon (VIMSS)
14181	b0035	1	7023	34781	35371	-	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)
14182	b0036	1	7023	35377	36162	-	caiD	crotonobetainyl CoA hydratase (RefSeq)
14183	b0037	1	7023	36271	37824	-	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase (RefSeq)
14184	b0038	1	7023	37898	39115	-	caiB	crotonobetainyl-CoA:carnitineCoA-transferase (NCBI)
14185	b0039	1	7023	39244	40386	-	caiA	crotonobetaine reductase subunit II, FAD-binding (NCBI)
14186	b0040	1	7023	40417	41931	-	caiT	L-carnitine/gamma-butyrobetaine antiporter (NCBI)
14187	b0041	1	7023	42403	43173	+	fixA	probable flavoprotein subunit, carnitine metabolism (VIMSS)
14188	b0042	1	7023	43188	44129	+	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like (NCBI)
14189	b0043	1	7023	44180	45466	+	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain (NCBI)
14190	b0044	1	7023	45463	45750	+	fixX	predicted 4Fe-4S ferredoxin-type protein (NCBI)
14191	b0045	1	7023	45807	47138	+	yaaU	predicted transporter (NCBI)
14192	b0046	1	7023	47246	47776	+	kefF	glutathione-regulated potassium-efflux system ancillary protein (NCBI)
14193	b0047	1	7023	47769	49631	+	kefC	glutathione-regulated potassium-efflux system protein (NCBI)
14194	b0048	1	7023	49823	50302	+	folA	dihydrofolate reductase (NCBI)
14195	b0049	1	7023	50380	51222	-	apaH	diadenosinetetraphosphatase (NCBI)
14196	b0050	1	7023	51229	51606	-	apaG	hypothetical protein (NCBI)
14197	b0051	1	7023	51609	52430	-	ksgA	dimethyladenosine transferase (NCBI)
14198	b0052	1	7023	52427	53416	-	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (NCBI)
14199	b0053	1	7023	53416	54702	-	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)
14200	b0054	1	7023	54755	57109	-	imp	organic solvent tolerance protein precursor (NCBI)
14201	b0055	1	7023	57364	58179	+	djlA	Dna-J like membrane chaperone protein (NCBI)
3446137	b4659	7	7023	58474	59052	+	yabP	
14204	b0058	1	7023	59687	60346	-	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32) (NCBI)
14205	b0059	1	7023	60358	63264	-	hepA	ATP-dependent helicase HepA (NCBI)
14206	b0060	1	7023	63429	65780	-	polB	DNA polymerase II (NCBI)
14207	b0061	1	7023	65855	66550	-	araD	L-ribulose-5-phosphate 4-epimerase (NCBI)
14208	b0062	1	7023	66835	68337	-	araA	L-arabinose isomerase (NCBI)
14209	b0063	1	7023	68348	70048	-	araB	ribulokinase (NCBI)
14210	b0064	1	7023	70387	71265	+	araC	DNA-binding transcriptional dual regulator (NCBI)
14211	b0065	1	7023	71351	72115	+	yabI	conserved inner membrane protein (NCBI)
14212	b0066	1	7023	72229	72927	-	thiQ	thiamin transporter subunit (NCBI)
14213	b0067	1	7023	72911	74521	-	thiP	thiamin ABC transporter membrane protein (NCBI)
14214	b0068	1	7023	74497	75480	-	tbpA	thiamin transporter subunit (NCBI)
14215	b0069	1	7023	75644	77299	-	sgrR	DNA-binding transcriptional regulator (NCBI)
1936206	b4577	6	7023	77367	77593	+	sgrS	small antisense RNA (NCBI)
7497338	b4662	1	7023	77388	77519	+	sgrT	Inhibitor of glucose uptake (RefSeq)
1936207	b0070	1	7023	77621	78799	+	setA	broad specificity sugar efflux system (NCBI)
14217	b0071	1	7023	78848	79453	-	leuD	isopropylmalate isomerase small subunit (NCBI)
14218	b0072	1	7023	79464	80864	-	leuC	isopropylmalate isomerase large subunit (NCBI)
14219	b0073	1	7023	80867	81958	-	leuB	3-isopropylmalate dehydrogenase (VIMSS)
14220	b0074	1	7023	81958	83529	-	leuA	2-isopropylmalate synthase (NCBI)
14221	b0075	1	7023	83622	83708	-	leuL	leu operon leader peptide (NCBI)
14222	b0076	1	7023	84368	85312	+	leuO	probable transcriptional activator for leuABCD operon (VIMSS)
1936210	b0077	1	7023	85630	87354	+	ilvI	acetolactate synthase III large subunit (NCBI)
14224	b0078	1	7023	87357	87848	+	ilvH	acetolactate synthase small subunit (NCBI)
14226	b0080	1	7023	88028	89032	+	fruR	DNA-binding transcriptional dual regulator (NCBI)
14227	b0081	1	7023	89634	90092	+	mraZ	hypothetical protein (NCBI)
14228	b0082	1	7023	90094	91035	+	mraW	S-adenosyl-methyltransferase (NCBI)
14229	b0083	1	7023	91032	91397	+	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)
14230	b0084	1	7023	91413	93179	+	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)
14231	b0085	1	7023	93166	94653	+	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)
14232	b0086	1	7023	94650	96008	+	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)
14233	b0087	1	7023	96002	97084	+	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)
