locusId	sysName	type	scaffoldId	begin	end	strand	original_name	desc	name	Product	ecocyc_id
ECD_00001	ECD_00001	1	CP001509	190	255	+		thr operon leader peptide	thrL	<i>thr</i> operon leader peptide	ECD_RS00005
ECD_00002	ECD_00002	1	CP001509	336	2798	+		Bifunctional aspartokinase/homoserine dehydrogenase 1	thrA	fused aspartate kinase/homoserine dehydrogenase 1	ECD_RS00010
ECD_00003	ECD_00003	1	CP001509	2800	3732	+		homoserine kinase	thrB	homoserine kinase	ECD_RS00015
ECD_00004	ECD_00004	1	CP001509	3733	5019	+		L-threonine synthase	thrC	threonine synthase	ECD_RS00020
ECD_00005	ECD_00005	1	CP001509	5232	5528	+		DUF2502 family putative periplasmic protein	yaaX	DUF2502 domain-containing protein YaaX	ECD_RS00030
ECD_00006	ECD_00006	1	CP001509	5681	6457	-		peroxide resistance protein, lowers intracellular iron	yaaA	DNA binding and peroxide stress response protein YaaA	ECD_RS00035
ECD_00007	ECD_00007	1	CP001509	6527	7957	-		putative transporter	yaaJ	putative transporter YaaJ	ECD_RS00040
ECD_00008	ECD_00008	1	CP001509	8236	9189	+		transaldolase B	talB	transaldolase B	ECD_RS00045
ECD_00009	ECD_00009	1	CP001509	9304	9891	+		molybdochelatase incorporating molybdenum into molybdopterin	mog	molybdopterin adenylyltransferase	ECD_RS00050
ECD_00010	ECD_00010	1	CP001509	9926	10492	-		succinate-acetate transporter	satP	acetate/succinate:H<sup>+</sup> symporter	ECD_RS00055
ECD_00011	ECD_00011	1	CP001509	10641	11354	-		UPF0174 family protein	yaaW	putative enzyme-specific chaperone YaaW	ECD_RS00060
ECD_00012	ECD_00012	1	CP001509	10828	11313	+		hypothetical protein			
ECD_00013	ECD_00013	1	CP001509	11380	11784	-		UPF0412 family protein	yaaI	DUF2541 domain-containing protein YaaI	ECD_RS00065
ECD_00014	ECD_00014	1	CP001509	12161	14077	+		chaperone Hsp70, with co-chaperone DnaJ	dnaK	chaperone protein DnaK	ECD_RS00070
ECD_00015	ECD_00015	1	CP001509	14166	15296	+		chaperone Hsp40, DnaK co-chaperone	dnaJ	chaperone protein DnaJ	ECD_RS00075
ECD_00016	ECD_00016	1	CP001509	15443	16555	+		IS186 hypothetical protein	insL1	IS186/IS421 transposase	ECD_RS00080
ECD_00017	ECD_00017	1	CP001509	16749	16958	-		regulatory protein for HokC			
ECD_00018	ECD_00018	1	CP001509	17488	18654	+		sodium-proton antiporter	nhaA	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	ECD_RS00090
ECD_00019	ECD_00019	1	CP001509	18714	19619	+		transcriptional activator of nhaA	nhaR	DNA-binding transcriptional activator NhaR	ECD_RS00095
ECD_00020	ECD_00020	1	CP001509	19658	20617	-		hypothetical protein	RS00100	hypothetical protein	ECD_RS00100
ECD_00021	ECD_00021	1	CP001509	20630	21775	-		putative usher protein	RS00105	fimbrial protein	ECD_RS00105
ECD_00022	ECD_00022	1	CP001509	22208	22912	-		hypothetical protein			
ECD_00023	ECD_00023	1	CP001509	23346	23621	+		IS1 protein InsA			
ECD_00024	ECD_00024	1	CP001509	23540	24043	+		IS1 protein InsB	RS00120	IS1 family transposase	ECD_RS00120
ECD_00025	ECD_00025	1	CP001509	24054	24404	-		hypothetical protein	RS00125	type III effector	ECD_RS00125
ECD_00026	ECD_00026	1	CP001509	24701	24865	-		hypothetical protein			
ECD_00027	ECD_00027	1	CP001509	24887	25150	-		30S ribosomal subunit protein S20	RS00130	30S ribosomal protein S20	ECD_RS00130
ECD_00028	ECD_00028	1	CP001509	25253	25471	+		uncharacterized protein	yaaY	DUF2575 domain-containing protein YaaY	ECD_RS00135
ECD_00029	ECD_00029	1	CP001509	25479	26420	+		bifunctional riboflavin kinase/FAD synthetase	ribF	bifunctional riboflavin kinase / FMN adenylyltransferase	ECD_RS00140
ECD_00030	ECD_00030	1	CP001509	26463	29279	+		isoleucyl-tRNA synthetase	ileS	isoleucine&mdash;tRNA ligase	ECD_RS00145
ECD_00031	ECD_00031	1	CP001509	29279	29773	+		prolipoprotein signal peptidase (signal peptidase II)	lspA	lipoprotein signal peptidase	ECD_RS00150
ECD_00032	ECD_00032	1	CP001509	29898	30347	+		FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	fkpB	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	ECD_RS00155
ECD_00033	ECD_00033	1	CP001509	30349	31299	+		4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ECD_RS00160
ECD_00034	ECD_00034	1	CP001509	31365	32279	+		ribonucleoside hydrolase 3	rihC	ribonucleoside hydrolase RihC	ECD_RS00165
ECD_00035	ECD_00035	1	CP001509	32446	33267	+		dihydrodipicolinate reductase	dapB	4-hydroxy-tetrahydrodipicolinate reductase	ECD_RS00170
ECD_00036	ECD_00036	1	CP001509	33723	34871	+		carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	carA	carbamoyl-phosphate synthetase small subunit	ECD_RS00185
ECD_00037	ECD_00037	1	CP001509	34889	38110	+		carbamoyl-phosphate synthase large subunit	carB	carbamoyl-phosphate synthetase large subunit	ECD_RS00190
ECD_00038	ECD_00038	1	CP001509	38372	38767	+		cai operon transcriptional activator	caiF	DNA-binding transcriptional activator CaiF	ECD_RS00200
ECD_00039	ECD_00039	1	CP001509	38976	39566	-		stimulator of CaiD and CaiB enzyme activities	caiE	putative transferase CaiE	ECD_RS00205
ECD_00040	ECD_00040	1	CP001509	39572	40465	-		carnitinyl-CoA dehydratase	caiD	crotonobetainyl-CoA hydratase	ECD_RS00210
ECD_00041	ECD_00041	1	CP001509	40466	42019	-		putative crotonobetaine/carnitine-CoA ligase	caiC	carnitine&mdash;CoA ligase	ECD_RS00215
ECD_00043	ECD_00043	1	CP001509	43438	44580	-		crotonobetaine reductase subunit II, FAD-binding	caiA	crotonobetainyl-CoA reductase	ECD_RS00225
ECD_00044	ECD_00044	1	CP001509	44611	46125	-		putative transporter	caiT	L-carnitine:&gamma;-butyrobetaine antiporter	ECD_RS00230
ECD_00045	ECD_00045	1	CP001509	46599	47369	+		anaerobic carnitine reduction putative electron transfer flavoprotein subunit	fixA	putative electron transfer flavoprotein FixA	ECD_RS00235
ECD_00046	ECD_00046	1	CP001509	47384	48325	+		putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	fixB	putative electron transfer flavoprotein FixB	ECD_RS00240
ECD_00047	ECD_00047	1	CP001509	48376	49662	+		putative oxidoreductase	fixC	putative oxidoreductase FixC	ECD_RS00245
ECD_00048	ECD_00048	1	CP001509	49659	49946	+		putative 4Fe-4S ferredoxin-type protein	fixX	putative ferredoxin FixX	ECD_RS00250
ECD_00049	ECD_00049	1	CP001509	50003	51334	+		putative MFS sugar transporter; membrane protein	yaaU	putative transporter YaaU	ECD_RS00255
ECD_00050	ECD_00050	1	CP001509	51442	51972	+		potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	kefF	regulator of KefC-mediated potassium transport and quinone oxidoreductase	ECD_RS00260
ECD_00051	ECD_00051	1	CP001509	51965	53827	+		potassium:proton antiporter	kefC	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	ECD_RS00265
ECD_00052	ECD_00052	1	CP001509	54019	54498	+		dihydrofolate reductase	folA	dihydrofolate reductase	ECD_RS00270
ECD_00053	ECD_00053	1	CP001509	54576	55418	-		diadenosine tetraphosphatase	apaH	diadenosine tetraphosphatase	ECD_RS00275
ECD_00054	ECD_00054	1	CP001509	55425	55802	-		protein associated with Co2+ and Mg2+ efflux	RS00280	Co2+/Mg2+ efflux protein ApaG	ECD_RS00280
